bill_id,date,chamber,sequence,action
1901744,2025-01-03,House,1,"Introduced in House"
1901744,2025-01-03,House,2,"Referred to the House Committee on Education and Workforce."
1901745,2025-01-03,House,1,"Introduced in House"
1901745,2025-01-03,House,2,"Referred to the House Committee on Energy and Commerce."
1901746,2025-01-03,House,1,"Introduced in House"
1901746,2025-01-03,House,2,"Referred to the House Committee on the Judiciary."
1901747,2025-01-03,House,1,"Introduced in House"
1901747,2025-01-03,House,2,"Referred to the House Committee on Natural Resources."
1901748,2025-01-03,House,1,"Submitted in House"
1901748,2025-01-03,House,2,"Considered as privileged matter. (consideration: CR H8)"
1901748,2025-01-03,House,3,"On agreeing to the resolution Agreed to without objection. (text: CR H8)"
1901748,2025-01-03,House,4,"Motion to reconsider laid on the table Agreed to without objection."
1901749,2025-01-03,House,1,"Introduced in House"
1901749,2025-01-03,House,2,"Referred to the House Committee on House Administration."
1901750,2025-01-03,House,1,"Introduced in House"
1901750,2025-01-03,House,2,"Referred to the Committee on the Budget, and in addition to the Committees on House Administration, and Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
1901751,2025-01-03,House,1,"Introduced in House"
1901751,2025-01-03,House,2,"Referred to the House Committee on Natural Resources."
1901752,2025-01-03,House,1,"Introduced in House"
1901752,2025-01-03,House,2,"Referred to the House Committee on Ways and Means."
1901753,2025-01-03,House,1,"Introduced in House"
1901753,2025-01-03,House,2,"Referred to the Committee on Financial Services, and in addition to the Committees on Ways and Means, and the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
1901754,2025-01-03,House,1,"Introduced in House"
1901754,2025-01-03,House,2,"Referred to the Committee on Oversight and Government Reform, and in addition to the Committees on Education and Workforce, Energy and Commerce, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
1901755,2025-01-03,House,1,"Introduced in House"
1901755,2025-01-03,House,2,"Referred to the Committee on Natural Resources, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
1901756,2025-01-03,House,1,"Introduced in House"
1901756,2025-01-03,House,2,"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, Education and Workforce, Natural Resources, the Judiciary, House Administration, Rules, and Appropriations, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
1901757,2025-01-03,Senate,1,"Submitted in the Senate, considered, and agreed to without amendment by Unanimous Consent. (consideration: CR S6; text: CR S6)"
1901758,2025-01-03,House,1,"Introduced in House"
1901758,2025-01-03,House,2,"Referred to the House Committee on Transportation and Infrastructure."
1901758,2025-01-04,House,3,"Referred to the Subcommittee on Water Resources and Environment."
1901758,2025-01-13,House,4,"Mr. Graves moved to suspend the rules and pass the bill."
1901758,2025-01-13,House,5,"Considered under suspension of the rules. (consideration: CR H105-106)"
1901758,2025-01-13,House,6,"DEBATE - The House proceeded with forty minutes of debate on H.R. 144."
1901758,2025-01-13,House,7,"At the conclusion of debate, the Yeas and Nays were demanded and ordered. Pursuant to the provisions of clause 8, rule XX, the Chair announced that further proceedings on the motion would be postponed."
1901758,2025-01-15,House,8,"Considered as unfinished business. (consideration: CR H169-170)"
1901758,2025-01-15,House,9,"On motion to suspend the rules and pass the bill Agreed to by the Yeas and Nays: (2/3 required): 423 - 0 (Roll no. 14). (text: 1/13/2025 CR H105)"
1901758,2025-01-15,House,10,"Motion to reconsider laid on the table Agreed to without objection."
1901758,2025-01-16,Senate,11,"Received in the Senate and Read twice and referred to the Committee on Environment and Public Works."
1901759,2025-01-03,House,1,"Introduced in House"
1901759,2025-01-03,House,2,"Referred to the Committee on House Administration, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
1901760,2025-01-03,House,1,"Introduced in House"
1901760,2025-01-03,House,2,"Referred to the House Committee on Oversight and Government Reform."
1901761,2025-01-03,House,1,"Introduced in House"
1901761,2025-01-03,House,2,"Referred to the House Committee on Education and Workforce."
1901762,2025-01-03,House,1,"Introduced in House"
1901762,2025-01-03,House,2,"Referred to the House Committee on the Judiciary."
1901763,2025-01-03,House,1,"Introduced in House"
1901763,2025-01-03,House,2,"Referred to the House Committee on the Judiciary."
1901764,2025-01-03,House,1,"Introduced in House"
1901764,2025-01-03,House,2,"Referred to the House Committee on Energy and Commerce."
1901765,2025-01-03,House,1,"Introduced in House"
1901765,2025-01-03,House,2,"Referred to the House Committee on Ways and Means."
1901766,2025-01-03,House,1,"Introduced in House"
1901766,2025-01-03,House,2,"Referred to the House Committee on Education and Workforce."
