bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1901758,1471875,2025-01-15,House,"On Motion to Suspend the Rules and Pass RC# 14",423,0,0,10,433
1901768,1473438,2025-01-22,House,"On Motion to Suspend the Rules and Pass RC# 22",416,0,0,17,433
1901772,1483891,2025-02-06,House,"On Agreeing to the Amendment: Trahan of Massachusetts Part B Amendment No. 2 RC# 32",182,226,0,24,432
1901772,1483892,2025-02-06,House,"On Passage RC# 33",312,108,0,13,433
1901776,1471899,2025-01-15,House,"On Motion to Suspend the Rules and Pass RC# 13",419,2,0,12,433
1901782,1480475,2025-02-04,House,"On Motion to Suspend the Rules and Pass RC# 28",412,1,0,20,433
1901783,1489900,2025-02-13,House,"On Passage RC# 42",264,155,0,14,433
1901804,1471424,2025-01-13,House,"On Motion to Suspend the Rules and Pass RC# 8",407,0,0,27,434
1901818,1471158,2025-01-03,House,"On Ordering the Previous Question RC# 3",216,210,0,8,434
1901818,1471159,2025-01-03,House,"On Motion to Commit with Instructions RC# 4",209,214,0,11,434
1901818,1471160,2025-01-03,House,"On Agreeing to the Resolution RC# 5",215,209,0,10,434
1901839,1545642,2025-04-10,House,"On Motion to Recommit RC# 101",211,215,0,7,433
1901839,1545643,2025-04-10,House,"On Passage RC# 102",220,208,0,5,433
1901840,1471925,2025-01-15,House,"On Passage RC# 15",423,1,0,9,433
1901851,1471666,2025-01-14,House,"On Motion to Suspend the Rules and Pass RC# 10",426,0,0,8,434
1901853,1471231,2025-01-09,House,"On Passage RC# 7",243,140,1,50,434
1901853,1476200,2025-01-28,Senate,"On Cloture on the Motion to Proceed H.R. 23 RC# 22",54,45,0,1,100
1901854,1471395,2025-01-13,House,"On Motion to Suspend the Rules and Pass RC# 9",405,5,0,24,434
1901872,1484521,2025-02-07,House,"On Motion to Recommit RC# 34",205,207,0,20,432
1901872,1484522,2025-02-07,House,"On Passage RC# 35",226,188,0,19,433
1901884,1471656,2025-01-14,House,"On Motion to Recommit RC# 11",208,218,0,8,434
1901884,1471657,2025-01-14,House,"On Passage RC# 12",218,206,1,9,434
1901890,1472901,2025-01-21,House,"On Motion to Suspend the Rules and Pass RC# 18",414,0,0,18,432
1901907,1472996,2025-01-21,House,"On Motion to Suspend the Rules and Pass, as Amended RC# 19",413,0,0,19,432
1901912,1471161,2025-01-07,House,"On Passage RC# 6",264,159,0,11,434
1901919,1474164,2025-01-23,House,"On Motion to Recommit RC# 26",205,216,0,12,433
1901919,1474165,2025-01-23,House,"On Passage RC# 27",217,204,1,11,433
1901920,1472066,2025-01-16,House,"On Motion to Recommit RC# 16",206,213,0,15,434
1901920,1472067,2025-01-16,House,"On Passage RC# 17",274,145,0,15,434
1901921,1565412,2025-05-05,House,"On Motion to Suspend the Rules and Pass RC# 116",349,42,0,42,433
1901951,1488648,2025-02-12,House,"On Motion to Recommit RC# 40",205,213,0,15,433
1901951,1488649,2025-02-12,House,"On Passage RC# 41",212,208,0,13,433
1903351,1471233,2025-01-09,Senate,"On Cloture on the Motion to Proceed S. 5 RC# 1",84,9,0,6,99
1903351,1471377,2025-01-13,Senate,"On the Motion to Proceed S. 5 RC# 2",82,10,0,6,98
1903351,1471889,2025-01-15,Senate,"On the Amendment S.Amdt. 14 to S.Amdt. 8 to S. 5 (No short title on file) RC# 3",70,25,0,4,99
1903351,1471890,2025-01-15,Senate,"On the Amendment S.Amdt. 23 to S. 5 (No short title on file) RC# 4",46,49,0,4,99
1903351,1472284,2025-01-17,Senate,"On the Cloture Motion S. 5 RC# 5",61,35,0,3,99
1903351,1472536,2025-01-20,Senate,"On the Amendment S.Amdt. 8 to S. 5 (No short title on file) RC# 6",75,24,0,0,99
1903351,1472537,2025-01-20,Senate,"On Passage of the Bill S. 5 RC# 7",64,35,0,0,99
1903351,1473443,2025-01-22,House,"On Passage RC# 23",263,156,0,14,433
1905585,1504161,2025-03-03,Senate,"On Cloture on the Motion to Proceed S. 9 RC# 100",51,45,0,4,100
1910135,1571138,2025-05-13,House,"On Motion to Suspend the Rules and Pass RC# 124",362,50,2,19,433
1910191,1568837,2025-05-08,House,"On Motion to Recommit RC# 121",203,213,0,16,432
1910191,1568838,2025-05-08,House,"On Passage RC# 122",211,206,0,16,433
1910216,1595817,2025-06-26,House,"On Passage RC# 184",231,182,0,18,431
1916962,1474255,2025-01-23,House,"On Motion to Suspend the Rules and Pass RC# 24",359,62,0,11,432
1916983,1526522,2025-03-24,House,"On Motion to Suspend the Rules and Pass RC# 72",405,0,0,26,431
1922469,1502187,2025-02-27,House,"On Passage RC# 53",221,198,2,12,433
