bill_id,people_id,position
1901744,18291,1
1901745,16502,2
1901745,18290,1
1901745,22939,3
1901745,24065,4
1901745,25867,5
1901746,18291,1
1901746,24035,2
1901747,9211,2
1901747,9217,1
1901747,15228,3
1901747,15240,4
1901748,9384,1
1901749,14906,2
1901749,18291,1
1901750,18291,1
1901751,8963,7
1901751,9175,1
1901751,9209,8
1901751,11145,3
1901751,18332,5
1901751,21929,4
1901751,24017,2
1901751,24059,6
1901752,9175,1
1901752,9294,39
1901752,9324,2
1901752,9329,50
1901752,11076,48
1901752,11137,33
1901752,13318,18
1901752,14922,30
1901752,14924,37
1901752,15051,29
1901752,15243,43
1901752,16452,28
1901752,16454,31
1901752,16460,21
1901752,16471,17
1901752,16476,24
1901752,17717,3
1901752,18317,6
1901752,18330,14
1901752,18335,7
1901752,19370,4
1901752,20049,15
1901752,20060,19
1901752,20065,32
1901752,20066,16
1901752,20083,22
1901752,20084,5
1901752,20114,46
1901752,20120,51
1901752,21934,23
1901752,21938,9
1901752,21939,25
1901752,21967,40
1901752,21972,8
1901752,21973,41
1901752,22947,20
1901752,22967,10
1901752,23162,45
1901752,23182,11
1901752,23998,35
1901752,24015,27
1901752,24023,49
1901752,24043,47
1901752,24045,42
1901752,24048,13
1901752,24050,12
1901752,24053,34
1901752,24062,36
1901752,25207,26
1901752,25904,52
1901752,25906,53
1901752,25921,44
1901752,25923,38
1901753,8955,1
1901753,18301,2
1901754,11054,3
1901754,18291,1
1901754,19664,2
1901755,21927,1
1901756,18291,1
1901757,9492,1
1901758,9025,1
1901758,20044,2
1901759,18304,1
1901760,9237,3
1901760,14085,2
1901760,18333,4
1901760,21961,1
1901761,18291,1
1901762,14906,1
1901762,16483,4
1901762,19664,2
1901762,21934,5
1901762,24055,3
1901763,16477,7
1901763,18335,1
1901763,21959,3
1901763,21961,4
1901763,24037,2
1901763,24038,5
1901763,24039,6
1901764,15228,2
1901764,18291,1
1901765,9175,9
1901765,9324,1
1901765,11132,20
1901765,11137,3
1901765,14084,5
1901765,16452,22
1901765,16460,13
1901765,16471,23
1901765,16477,36
1901765,17717,34
1901765,18287,18
1901765,18310,16
1901765,18335,4
1901765,19370,21
1901765,20047,30
1901765,20049,8
1901765,20060,29
1901765,20066,15
1901765,20083,10
1901765,20084,7
1901765,20096,19
1901765,20108,25
1901765,21386,27
1901765,21928,14
1901765,21932,12
1901765,21938,24
1901765,21939,37
1901765,21959,35
1901765,21961,6
1901765,21966,26
1901765,21972,17
1901765,22915,31
1901765,22947,32
1901765,23162,11
1901765,24039,28
1901765,24050,2
1901765,24053,33
1901766,18291,1
1901767,18291,1
1901768,20075,1
1901769,9389,1
1901769,11145,2
1901769,15241,4
1901769,18332,3
1901769,21929,5
1901770,18291,1
1901771,9211,14
1901771,9217,1
1901771,11605,10
1901771,14922,2
1901771,15228,7
1901771,16449,24
1901771,16460,13
1901771,18291,19
1901771,18335,3
1901771,20066,12
1901771,20108,16
1901771,20120,22
1901771,21647,21
1901771,21922,9
1901771,21925,15
1901771,21929,26
1901771,21965,17
1901771,21970,4
1901771,23162,11
1901771,23182,20
1901771,24001,8
1901771,24016,18
1901771,24026,5
1901771,24055,6
1901771,25901,23
1901771,25902,25
1901771,25905,28
1901771,25909,27
1901772,9175,16
1901772,9209,4
1901772,9216,2
1901772,9274,3
1901772,9381,37
1901772,9389,44
1901772,11077,42
1901772,11099,15
1901772,11129,34
1901772,11132,1
1901772,11145,39
1901772,11164,41
1901772,14084,5
1901772,15051,59
1901772,15243,30
1901772,16452,19
1901772,16454,6
1901772,16463,51
1901772,16471,18
1901772,16473,52
1901772,16480,49
1901772,16490,7
1901772,18300,8
1901772,18310,32
1901772,19676,31
1901772,20044,40
1901772,20047,23
1901772,20049,9
1901772,20076,10
1901772,20083,24
1901772,20084,17
1901772,20108,29
1901772,20120,25
1901772,21386,45
1901772,21925,38
1901772,21928,13
1901772,21930,46
1901772,21938,26
1901772,21940,14
1901772,21950,43
1901772,21966,12
1901772,21971,11
1901772,21977,21
1901772,22947,33
1901772,23173,48
1901772,24007,28
1901772,24019,35
1901772,24023,36
1901772,24034,60
1901772,24038,50
1901772,24039,22
1901772,24053,27
1901772,25880,53
1901772,25899,58
1901772,25902,20
1901772,25906,61
1901772,25907,57
1901772,25910,56
1901772,25911,47
1901772,25912,55
1901772,25914,62
1901772,25916,54
1901773,9492,1
1901774,18291,1
1901774,24006,2
1901774,24035,3
1901775,18291,1
1901775,21934,2
1901776,24015,2
1901776,24024,1
1901777,18291,1
1901778,18304,1
1901778,18314,2
1901779,9175,1
1901779,24016,2
1901780,21927,1
1901781,18291,1
1901781,20100,2
1901782,25914,1
1901783,9175,19
1901783,11145,23
1901783,14922,4
1901783,14924,22
1901783,15240,14
1901783,18310,3
1901783,18317,15
1901783,18335,10
1901783,20083,8
1901783,20108,5
1901783,21386,25
1901783,21928,20
1901783,21930,18
1901783,21931,11
1901783,21938,12
1901783,21940,16
1901783,21968,9
1901783,21977,6
1901783,22947,13
1901783,24007,1
1901783,24012,2
1901783,24023,7
1901783,24038,24
1901783,24039,21
1901783,24043,28
1901783,24053,17
1901783,25894,29
1901783,25897,30
1901783,25899,31
1901783,25901,32
1901783,25906,33
1901783,25912,27
1901783,25920,26
1901784,11054,2
1901784,18291,1
1901785,18291,1
1901786,9492,1
1901787,17958,1
1901788,9217,1
1901788,9324,18
1901788,9337,2
1901788,9381,11
1901788,11605,13
1901788,15228,10
1901788,15243,4
1901788,16460,14
1901788,18335,3
1901788,20108,16
1901788,21925,9
1901788,21974,17
1901788,24001,12
1901788,24016,5
1901788,24023,6
1901788,24025,7
1901788,24062,15
1901788,25903,8
1901789,18291,1
1901789,24006,3
1901789,24035,4
1901789,24055,2
1901790,18291,1
1901790,21965,2
1901791,9381,1
1901792,18291,1
1901793,16447,2
1901793,18291,1
1901794,9492,1
1901795,18291,1
1901796,11054,1
1901796,11076,9
1901796,11605,11
1901796,17958,5
1901796,19407,3
1901796,20060,14
1901796,21927,10
1901796,21929,2
1901796,21970,6
1901796,21974,7
1901796,24006,8
1901796,24067,13
1901796,25234,12
1901796,25894,4
1901797,9492,1
1901798,9160,1
1901799,18304,1
1901799,18333,5
1901799,20048,3
1901799,24011,2
1901799,25867,4
1901800,18291,1
1901801,18291,1
1901802,9492,1
1901803,18291,1
1901804,9273,2
1901804,16476,1
1901805,17958,1
1901806,9077,3
1901806,18304,6
1901806,18333,4
1901806,20088,5
1901806,21961,1
1901806,24040,2
1901806,25867,7
1901807,9151,2
1901807,9360,4
1901807,20044,1
1901807,23182,3
1901808,9492,1
1901809,16487,3
1901809,18304,6
1901809,20081,1
1901809,20112,7
1901809,21924,4
1901809,24031,8
1901809,24038,2
1901809,24064,5
1901810,18291,1
1901810,24000,2
1901811,8964,2
1901811,9175,1
1901811,20088,4
1901811,20120,3
1901812,18291,1
1901812,24006,2
1901813,18291,1
1901814,11054,4
1901814,14906,3
1901814,16483,15
1901814,18291,5
1901814,19664,6
1901814,20100,13
1901814,21647,16
1901814,21922,14
1901814,21941,10
1901814,24000,2
1901814,24001,8
1901814,24006,9
1901814,24026,7
1901814,24035,12
1901814,24055,1
1901814,24062,11
1901815,18291,1
1901816,9029,5
1901816,9337,3
1901816,16502,2
1901816,18304,1
1901816,18333,6
1901816,20071,4
1901816,20078,10
1901816,20088,9
1901816,24066,7
1901816,25867,8
1901817,17958,2
1901817,18291,1
1901818,21950,1
1901819,9050,1
1901820,21647,1
1901821,14906,5
1901821,14922,2
1901821,18291,1
1901821,21927,4
1901821,24055,3
1901822,9200,37
1901822,9209,45
1901822,9216,67
1901822,9220,68
1901822,9222,69
1901822,9269,70
1901822,9273,29
1901822,9274,22
1901822,9279,64
1901822,9324,39
1901822,9337,52
1901822,11058,28
1901822,11077,89
1901822,11124,83
1901822,11129,44
1901822,11137,92
1901822,11145,94
1901822,11164,25
1901822,11605,40
1901822,13318,27
1901822,14084,48
1901822,14906,106
1901822,14922,16
1901822,14924,58
1901822,15051,90
1901822,15228,14
1901822,15240,53
1901822,16447,23
1901822,16449,77
1901822,16454,34
1901822,16460,102
1901822,16468,110
1901822,16471,32
1901822,16476,107
1901822,16477,95
1901822,17704,105
1901822,17717,79
1901822,17980,82
1901822,18287,62
1901822,18290,1
1901822,18310,15
1901822,18317,19
1901822,18330,81
1901822,18335,7
1901822,19370,12
1901822,19407,84
1901822,19664,10
1901822,19692,56
1901822,20044,109
1901822,20047,93
1901822,20049,2
1901822,20064,50
1901822,20066,59
1901822,20075,72
1901822,20076,31
1901822,20083,75
1901822,20084,85
1901822,20096,9
1901822,20098,41
1901822,20108,65
1901822,20110,46
1901822,20114,103
1901822,21647,47
1901822,21922,20
1901822,21929,55
1901822,21934,43
1901822,21938,30
1901822,21939,17
1901822,21941,4
1901822,21946,73
1901822,21950,35
1901822,21966,26
1901822,21967,51
1901822,21969,33
1901822,21970,100
1901822,21971,88
1901822,21972,36
1901822,21973,101
1901822,21974,57
1901822,21977,111
1901822,22915,76
1901822,22947,42
1901822,23162,5
1901822,23182,71
1901822,23998,60
1901822,24000,24
1901822,24003,38
1901822,24006,3
1901822,24015,54
1901822,24019,66
1901822,24023,18
1901822,24035,63
1901822,24036,49
1901822,24039,13
1901822,24048,21
1901822,24055,6
1901822,24058,61
1901822,24062,74
1901822,25207,108
1901822,25234,98
1901822,25894,99
1901822,25895,91
1901822,25897,104
1901822,25900,97
1901822,25901,80
1901822,25910,8
1901822,25913,11
1901822,25915,96
1901822,25920,78
1901822,25921,87
1901822,25922,86
1901823,18291,2
1901823,21922,6
1901823,21934,3
1901823,21965,5
1901823,24001,4
1901823,24055,1
1901824,21950,1
1901825,9384,1
1901826,18291,1
1901827,21948,1
1901828,9273,2
1901828,21970,1
1901829,18291,1
1901830,9492,1
1901831,18291,1
1901832,17958,1
1901833,9050,1
1901833,16492,2
1901834,18335,1
1901834,21941,5
1901834,24039,2
1901834,25234,4
1901834,25894,3
1901835,9217,1
1901835,16460,2
1901836,21928,1
1901836,25901,2
1901837,17958,1
1901838,9217,1
1901839,9192,32
1901839,9200,59
1901839,9209,29
1901839,9217,38
1901839,9329,79
1901839,9337,106
1901839,11054,45
1901839,11058,80
1901839,11076,88
1901839,11099,93
1901839,11137,107
1901839,11145,73
1901839,11605,34
1901839,14906,43
1901839,14922,48
1901839,14924,55
1901839,16447,27
1901839,16449,46
1901839,16452,36
1901839,16458,57
1901839,16468,77
1901839,16471,54
1901839,16476,89
1901839,16477,101
1901839,16480,108
1901839,16490,16
1901839,17717,83
1901839,18286,31
1901839,18291,19
1901839,18300,28
1901839,18310,6
1901839,18335,33
1901839,19370,30
1901839,19407,21
1901839,19664,22
1901839,20042,100
1901839,20047,20
1901839,20049,24
1901839,20060,13
1901839,20064,68
1901839,20065,104
1901839,20076,96
1901839,20083,74
1901839,20096,76
